#bin	chrom	chromStart	chromEnd	name
0	chr1	121796048	124048267	p11.1
0	chr1	124048267	126300487	q11
0	chr2	92333543	93503283	p11.1
0	chr2	93503283	94673023	q11.1
0	chr3	91738002	94076514	p11.1
0	chr3	94076514	96415026	q11.1
0	chr4	49705154	52452474	p11
0	chr4	52452474	55199795	q11
0	chr5	47039134	48317879	p11
0	chr5	48317879	49596625	q11.1
0	chr6	58286706	59672548	p11.1
0	chr6	59672548	61058390	q11.1
0	chr7	60414372	62064435	p11.1
0	chr7	62064435	63714499	q11.1
0	chr8	44215832	45270456	p11.1
0	chr8	45270456	46325080	q11.1
0	chr9	44951775	46267185	p11.1
0	chr9	46267185	47582595	q11
0	chr10	39633793	40649191	p11.1
0	chr10	40649191	41664589	q11.1
0	chr11	51035789	52743313	p11.11
0	chr11	52743313	54450838	q11
0	chr12	34620838	35911664	p11.1
0	chr12	35911664	37202490	q11
0	chr13	15547593	16522942	p11.1
0	chr13	16522942	17498291	q11
0	chr14	10092112	11400261	p11.1
0	chr14	11400261	12708411	q11.1
0	chr15	16678794	17186630	p11.1
0	chr15	17186630	17694466	q11.1
0	chr16	35848286	36838903	p11.1
0	chr16	36838903	37829521	q11.1
0	chr17	23892419	25689679	p11.1
0	chr17	25689679	27486939	q11.1
0	chr18	15965699	18449624	p11.1
0	chr18	18449624	20933550	q11.1
0	chr19	25817676	27792923	p11
0	chr19	27792923	29768171	q11
0	chr20	26925852	28012753	p11.1
0	chr20	28012753	29099655	q11.1
0	chr21	10962853	11134529	p11.1
0	chr21	11134529	11306205	q11.1
0	chr22	12788180	14249622	p11.1
0	chr22	14249622	15711065	q11.1
0	chrX	57820107	59373565	p11.1
0	chrX	59373565	60927025	q11.1
0	chrY	10565750	10724418	p11.1
0	chrY	10724418	10883085	q11.1
