#filter: chr1_gap.type = 'centromere'
#bin	chrom	chromStart	chromEnd	ix	n	size	type	bridge
23	chr1	121236957	123476957	1269	N	2240000	centromere	no
2	chr2	91689898	94689898	758	N	3000000	centromere	no
2	chr3	90587544	93487544	772	N	2900000	centromere	no
1	chr4	49354874	52354874	435	N	3000000	centromere	no
14	chr5	46441398	49441398	451	N	3000000	centromere	no
16	chr6	58938125	61938125	629	N	3000000	centromere	no
1	chr7	58058273	61058273	559	N	3000000	centromere	no
14	chr8	43958052	46958052	372	N	3000000	centromere	no
14	chr9	47107499	50107499	409	N	3000000	centromere	no
1	chrX	58598737	61598737	578	N	3000000	centromere	no
10	chrY	11253954	11653954	106	N	400000	centromere	no
678	chrY	12208578	12308578	111	N	100000	centromere	no
13	chr10	39244941	41624941	341	N	2380000	centromere	no
15	chr11	51450781	54450781	443	N	3000000	centromere	no
13	chr12	34747961	36142961	301	N	1395000	centromere	no
1	chr13	16000000	17868000	2	N	1868000	centromere	no
1	chr14	15070000	18070000	2	N	3000000	centromere	no
1	chr15	15260000	18260000	2	N	3000000	centromere	no
13	chr16	35143302	36943302	351	N	1800000	centromere	no
94	chr17	22187133	22287133	185	N	100000	centromere	no
10	chr18	15400898	16764896	123	N	1363998	centromere	no
12	chr19	26923622	29923622	408	N	3000000	centromere	no
12	chr20	26267569	28033230	273	N	1765661	centromere	no
10	chr21	10260000	13260000	7	N	3000000	centromere	no
10	chr22	11330000	14330000	2	N	3000000	centromere	no
